settlement_date,nd
2009-01-12,49445
2009-01-12,49789
2009-01-12,49682
2009-01-12,49615
2009-01-12,49553
2009-01-12,49636
2009-01-12,49404
2009-01-12,49271
2009-01-12,50425
2009-01-12,52383
2009-01-12,54476
2009-01-12,55489
2009-01-12,54537
2009-01-12,53503
2009-01-12,52561
2009-01-12,51292
2009-01-12,50000
2009-01-12,48167
2009-01-12,46551
2009-01-12,44910
2009-01-12,42592
2009-01-12,40660
2009-01-12,38640
2009-01-12,36365
2009-01-12,35029
2009-01-13,35658
2009-01-13,35508
2009-01-13,35324
2009-01-13,34705
2009-01-13,34451
2009-01-13,34480
2009-01-13,33778
2009-01-13,33037
2009-01-13,32425
2009-01-13,32236
2009-01-13,32530
2009-01-13,33509
2009-01-13,36600
2009-01-13,39927
2009-01-13,44015
2009-01-13,46440
2009-01-13,47021
2009-01-13,46698
2009-01-13,47468
2009-01-13,47790
2009-01-13,47888
2009-01-13,48046
2009-01-13,48014
