,nd,tsd
546,47928,49180
547,48516,49768
548,48675,49927
549,48948,50200
550,49243,50497
551,49445,50721
552,49789,51094
553,49682,50999
554,49615,50938
555,49553,50804
556,49636,50887
557,49404,50586
558,49271,49901
559,50425,51058
560,52383,53016
561,54476,55112
562,55489,56123
563,54537,55168
564,53503,54136
565,52561,53196
566,51292,52527
567,50000,51764
568,48167,49976
569,46551,48361
570,44910,46739
571,42592,44374
572,40660,42433
573,38640,40469
574,36365,39493
575,35029,38985
576,35658,39274
577,35508,39312
578,35324,39427
579,34705,38915
580,34451,38262
581,34480,38285
582,33778,37668
583,33037,36935
584,32425,36720
585,32236,36464
586,32530,36040
587,33509,37028
588,36600,39908
589,39927,42479
590,44015,45726
591,46440,48284
592,47021,48978
593,46698,48540
594,47468,49193
595,47790,49548
596,47888,49650
597,48046,49808
598,48014,49747
599,48169,49928
600,48324,50085
601,47992,49736
602,47991,49840
603,47752,49629
604,47860,49706
605,47518,49248
606,47463,48564
607,48398,49546
608,50155,50903
609,53508,54176
610,55036,55696
611,54617,55289
612,53791,54459
613,53051,53769
614,51867,53152
615,50344,52022
616,49368,51258
617,47565,49546
618,45747,47791
619,43430,45576
620,41365,43535
621,39400,41829
622,37128,40379
623,35834,39292
624,36373,39647
625,36260,39691
626,35962,40055
627,35432,39407
628,35293,39079
629,35394,39157
630,35127,39010
631,34427,38464
632,33808,37939
633,33584,37616
634,33901,37648
635,34784,38598
636,37950,41487
637,41347,43981
638,45573,47380
639,48049,49943
640,48762,50663
641,48305,50207
642,49076,50930
643,49385,51290
644,49537,51323
645,49512,51106
646,49558,51150
647,49783,51533
648,49730,51635
649,49426,51373
650,49180,51060
651,49146,50916
652,49135,50896
653,48808,50563
654,48599,49971
655,49858,51252
656,51731,52579
657,54676,55519
658,56062,56632
659,55341,55966
660,54582,55191
661,53562,54175
662,52211,53509
663,51025,52389
664,49823,51191
665,47460,49157
666,46250,48611
667,43714,46173
668,41571,43978
669,39507,42322
670,36993,40581
671,35467,39388
672,35936,39404
673,35718,39414
674,35509,39568
675,34964,39158
676,34577,38737
677,34728,38775
678,34176,38329
679,33298,37461
680,32564,36771
681,32321,36479
682,32689,36452
683,33586,37357
684,36530,40280
685,40118,42983
686,44141,46151
687,46611,48709
688,47631,49835
689,47325,49224
690,48053,49711
691,48447,50078
692,48507,50187
693,48494,50256
694,48685,50831
695,48797,51055
696,49071,51323
697,48848,51050
698,48522,50641
699,48438,50469
700,48545,50562
701,48298,50258
702,48113,49627
703,48996,50507
704,50552,51532
705,53028,54061
706,54139,54908
707,53643,54347
708,53044,53748
709,52302,53187
710,51073,53095
711,49635,51846
712,48615,50652
713,46874,48864
714,45044,47185
715,42861,45128
716,41104,43402
717,39065,41915
718,36488,38842
719,35078,37389
720,35634,37955
721,35432,37747
722,35303,37610
723,34529,36839
724,34245,36421
725,34243,36420
726,33606,35882
727,32689,34953
728,32075,34414
729,31878,34394
730,32181,35251
731,33265,36230
732,36017,38779
733,39478,41638
734,43619,45124
735,46084,47823
736,46982,48748
737,46661,48438
738,47167,48703
739,47458,48991
740,47523,49116
741,47457,49241
742,47348,48818
743,47323,48820
744,47309,48804
745,47013,48511
746,46885,48756
747,46692,48490
748,46724,48533
749,46408,48247
750,45974,46579
751,46751,47362
752,48098,48711
753,50673,51288
754,52165,52773
755,51514,52180
756,50863,51534
757,49837,50449
758,48576,49187
759,47104,47713
760,45494,46149
761,43696,44389
762,42224,43341
763,40362,41554
764,38792,40020
765,37418,38611
766,35635,37181
767,34669,36506
768,35083,36968
769,34914,36669
770,34357,36209
771,33421,35398
772,32714,34725
773,32666,34670
774,31867,33861
775,30814,32810
776,30027,32058
777,29537,31471
778,29282,31027
779,29261,31005
780,30125,31859
781,30985,32283
782,32201,32961
783,33244,34011
784,34984,35750
785,36977,37710
786,38804,39427
787,39502,40150
788,40050,40707
789,40386,41037
790,40373,40995
791,40191,40813
792,40197,40844
793,39912,40620
794,39683,40412
795,39479,40181
796,39419,40108
797,39248,39958
798,39528,40285
799,40252,40963
800,42155,42764
801,45452,46067
802,47543,48317
803,47700,48590
804,47047,47927
805,46214,46982
806,44802,45680
807,43230,44079
808,41927,42783
809,40643,41534
810,39298,40174
811,37996,38879
812,36750,37531
813,35697,36404
814,34330,35396
815,33707,34914
816,34369,35482
817,34045,35320
818,33757,35548
819,32889,34622
820,32204,34053
821,32051,33792
822,31160,33047
823,30223,32183
824,29637,31549
825,29207,31162
826,28847,30760
827,28708,30546
828,29110,30866
829,29378,31097
830,29670,30676
831,29964,30920
832,31089,32047
833,32927,33798
834,34976,35595
835,36793,37412
836,38300,38962
837,39139,39761
838,40013,40635
839,40426,41047
840,40857,41545
841,40860,41647
842,40669,41481
843,40290,41002
844,40024,40643
845,39748,40367
846,39848,40467
847,40698,41317
848,42092,42718
849,45679,46299
850,47801,48413
851,47959,48575
852,47299,47994
853,46361,47069
854,45760,46602
855,44621,45507
856,43844,44713
857,42425,43294
858,41100,41937
859,39184,40029
860,37707,38540
861,35980,36864
862,34021,35466
863,32924,34902
864,33670,35173
865,33364,34934
866,33281,35067
867,32604,34507
868,32263,34174
869,32334,34233
870,31843,33956
871,31126,33156
872,30778,32864
873,30745,32677
874,31165,32939
875,32382,34043
876,35687,37043
877,39097,40101
878,43631,44688
879,46174,47197
880,47302,48209
881,47139,48037
882,48122,48898
883,48724,49581
884,48950,49863
885,49115,50030
886,49483,50398
887,49526,50418
888,49630,50426
889,49404,50230
890,49369,50185
891,49138,49853
892,49236,49950
