,nd,tsd
1661,49506,51716
1662,49370,50641
1663,49859,50944
1664,50692,51474
1665,52434,53045
1666,55320,55915
1667,56050,56691
1668,55474,56120
1669,54660,55311
1670,53796,54534
1671,52839,53606
1672,51560,52439
1673,49404,50260
1674,48010,48762
1675,45332,46119
1676,43532,44467
1677,41212,42617
1678,38651,40821
1679,37315,40085
1680,37923,40697
1681,37860,40619
1682,37898,40585
1683,37352,40018
1684,36974,39632
1685,37267,39903
1686,36668,39422
1687,35841,38597
1688,35167,37902
1689,35009,37724
1690,35199,38905
1691,36150,39681
1692,38818,41764
1693,42046,43568
1694,46004,46645
1695,47543,48458
1696,48471,49475
1697,49084,50010
1698,50316,51166
1699,50817,51452
1700,50959,51594
1701,51264,51896
1702,51489,52224
1703,51678,52467
1704,52017,52811
1705,51781,52601
1706,51761,52604
1707,51397,52222
1708,51356,52142
1709,50857,51498
1710,50450,51222
1711,50878,51686
1712,51416,52104
1713,52738,53376
1714,55087,55715
1715,55418,56089
1716,54970,55636
1717,54224,54854
1718,53280,53933
1719,52036,52709
1720,51053,51815
1721,49138,49957
1722,47393,48342
1723,44940,45917
1724,42963,43941
1725,40797,41875
1726,38419,40587
1727,37168,39806
1728,37741,40349
1729,37568,40167
1730,37575,40187
1731,37059,39693
1732,36797,39391
1733,37113,39690
1734,36577,39194
1735,35800,38410
1736,35155,37750
1737,34969,37824
1738,35067,38092
1739,35953,38444
1740,38784,40667
1741,41855,43196
1742,45952,46562
1743,47607,48333
1744,48602,49467
1745,49142,49966
1746,50340,51188
1747,50696,51584
1748,51000,51895
1749,51105,51994
1750,51332,52244
1751,51217,52112
1752,51295,52162
1753,50617,51504
1754,50600,51408
1755,50253,51048
1756,50150,50923
1757,49573,50367
1758,48970,49772
1759,49120,49948
1760,49601,50370
1761,50952,51610
1762,53290,53830
1763,54342,54965
1764,53892,54492
1765,52865,53480
1766,51804,52554
1767,50377,51305
1768,48730,49550
1769,47010,47888
1770,45541,46541
1771,43465,44436
1772,41730,42740
1773,40231,41298
1774,38292,40259
1775,37467,39807
1776,38021,40261
1777,37972,40140
1778,37625,40028
1779,36762,39258
1780,36246,38949
1781,36362,38986
1782,35692,38337
1783,34885,37553
1784,34132,36806
1785,33707,36365
1786,33352,36002
1787,33338,35861
1788,34043,36387
1789,34910,36338
1790,35753,36366
1791,36107,36718
1792,38277,38887
1793,40480,41093
1794,42476,43088
1795,43388,44003
1796,44136,44750
1797,44369,44987
1798,44429,45045
1799,44299,44911
1800,44241,44855
1801,43845,44496
1802,43310,43920
1803,42805,43411
1804,42687,43292
1805,42206,42811
1806,42131,42735
1807,42275,42881
1808,42602,43209
1809,44251,44843
1810,47475,47996
1811,49820,50509
1812,49660,50372
1813,48987,49703
1814,48230,48964
1815,46582,47232
1816,45287,46024
1817,43713,44391
1818,42339,43129
1819,40866,41748
1820,39596,40506
1821,38734,39540
1822,37320,38970
1823,36607,38450
1824,37399,39239
1825,37246,39090
1826,36927,38560
1827,35991,37838
1828,35606,37392
1829,35745,37587
1830,35277,37761
1831,34338,36828
1832,33590,36073
1833,33229,35704
1834,32748,35220
1835,32565,34906
1836,32836,35016
1837,33081,35180
1838,33119,34445
1839,32731,33928
1840,34323,35026
1841,36303,36992
1842,38620,39242
1843,40377,41000
1844,42050,42675
1845,42972,43653
1846,43829,44502
1847,44355,44981
1848,44721,45346
1849,44454,45184
1850,44136,44882
1851,43491,44144
1852,43548,44167
1853,43538,44157
1854,43551,44169
1855,43968,44587
1856,44564,45189
1857,46097,46729
1858,48273,48839
1859,49657,50185
1860,49663,50283
1861,49051,49756
1862,48304,49009
1863,46858,47535
1864,46084,46887
1865,44886,45738
1866,43390,44316
1867,41572,42507
1868,40056,40950
1869,38090,39023
1870,35935,37571
1871,34908,36933
1872,35613,37633
1873,35730,37859
1874,35778,38302
1875,35402,37953
1876,35251,37857
1877,35560,38150
1878,35142,37708
1879,34426,36981
1880,33877,36432
1881,33665,36204
1882,33996,37163
1883,34971,37802
1884,38136,40681
1885,41707,43466
1886,45592,46429
1887,47216,48104
1888,48260,49126
1889,48893,50031
1890,50133,51198
1891,50799,51939
1892,51032,52162
1893,51242,52148
1894,51417,52298
1895,51569,52420
1896,51737,52595
1897,51380,52294
1898,51414,52370
1899,51195,52085
1900,51306,52202
1901,50967,51866
1902,50786,51741
1903,51494,52445
1904,52554,53340
1905,53750,54383
1906,55406,56011
1907,55663,56269
1908,54927,55554
1909,54503,55138
1910,53420,54206
1911,52133,53085
1912,50651,51521
1913,49006,49887
1914,47015,47967
1915,44461,45424
1916,42515,43488
1917,40148,41448
1918,37616,40024
1919,36338,38966
1920,37013,39615
1921,37072,39668
1922,37107,39801
1923,36644,39359
1924,36469,39172
1925,36643,39332
1926,36180,38929
1927,35260,37992
1928,34706,37373
1929,34584,37170
1930,34770,37167
1931,35909,38114
1932,38691,40441
1933,42220,43352
1934,46103,46739
1935,47428,48218
1936,48308,49189
1937,48556,49426
1938,49791,50586
1939,50119,50963
1940,50153,51030
1941,50193,51076
1942,50195,51108
1943,50152,51064
1944,50210,51128
1945,49875,50823
1946,49895,50825
1947,49590,50473
1948,49594,50472
1949,49094,49975
1950,48670,49604
1951,49204,50153
1952,49817,50661
1953,50962,51700
1954,53166,53763
1955,55037,55617
1956,54934,55530
1957,54445,55114
1958,53564,54428
1959,52016,52987
1960,51183,52151
1961,49356,50352
1962,47559,48567
1963,45198,46205
1964,43069,44074
1965,40777,41798
1966,38284,40323
1967,36921,39570
1968,37518,40165
1969,37468,40093
1970,37496,40108
1971,37025,39632
1972,36788,39405
1973,37093,39732
1974,36525,39214
1975,35775,38445
1976,35189,37849
1977,35075,37739
1978,35368,37825
1979,36271,38646
1980,39251,40915
1981,42893,44183
1982,46555,47951
1983,47802,49133
1984,48472,49775
1985,48646,49965
1986,49671,51056
1987,49949,51336
1988,49935,51319
1989,49897,51278
1990,49917,51300
1991,49807,51189
1992,49883,51233
1993,49629,50993
1994,49550,50910
1995,49368,50687
1996,49414,50745
1997,49102,50332
1998,48784,49783
1999,49282,50278
2000,50030,50921
2001,51411,52140
2002,53436,54050
2003,54990,55600
2004,54966,55624
2005,54370,55077
2006,53151,54010
2007,52016,52982
2008,51073,52039
2009,49140,50143
2010,47471,48478
2011,45144,46151
2012,43253,44267
2013,41300,42621
2014,39061,41333
2015,37407,39906
2016,37934,40431
2017,37803,40286
2018,37734,40051
2019,37220,39497
2020,37124,39542
2021,37421,39723
2022,36980,39542
2023,36138,38785
2024,35517,38188
2025,35404,38231
2026,35585,38966
2027,36559,39336
2028,39584,41808
2029,42926,44871
2030,46622,48417
2031,47841,49715
2032,48653,50557
2033,49010,51159
2034,50129,52252
2035,50507,52669
2036,50644,52837
2037,50721,52720
2038,50751,52657
2039,50788,52561
2040,50836,52626
2041,50511,52373
2042,50393,52647
2043,50300,52571
2044,50415,52639
2045,50236,52494
2046,50103,51209
2047,50527,51463
2048,51345,52165
2049,52765,53497
2050,54525,55121
2051,55134,55692
2052,54835,55504
2053,54263,55003
2054,53148,54041
2055,51633,52613
2056,50782,51749
2057,48999,49993
2058,47319,48540
2059,44984,46254
2060,42880,44160
2061,40916,42635
2062,38548,41210
2063,37345,40242
2064,38013,40694
2065,37821,40508
2066,37653,40415
2067,36976,39971
2068,36589,39512
2069,36839,39646
2070,36375,39243
2071,35486,38358
2072,34984,38085
2073,34785,38009
2074,35064,38836
2075,35807,39559
2076,38538,42004
2077,41669,44241
2078,45036,46742
2079,46352,48041
2080,47516,49152
2081,48003,49999
2082,48735,50780
2083,48715,50725
2084,48705,50694
2085,48727,50718
2086,48747,50739
2087,48759,50752
2088,48731,50705
2089,48065,50040
2090,47971,49976
2091,47561,49510
2092,47350,49269
2093,46863,48848
2094,46417,47405
2095,46389,47328
2096,46810,47619
2097,48053,48778
2098,50095,50702
2099,52021,52641
2100,52094,52963
2101,51467,52497
2102,50361,51326
2103,49091,50056
2104,47688,48600
2105,45959,46856
2106,44520,45519
2107,42536,43539
2108,40813,41813
2109,39333,40572
2110,37568,39753
2111,36827,39367
2112,37389,39599
2113,37233,39326
2114,36779,39081
2115,35977,38544
2116,35482,38028
2117,35582,38066
2118,34940,37421
2119,34102,36580
2120,33360,35799
2121,32872,35280
2122,32691,35038
2123,32687,34954
2124,33648,36000
2125,34379,35940
2126,35237,36019
2127,35813,36423
2128,37821,38426
2129,39808,40545
2130,41666,42730
2131,42553,43732
2132,43104,44396
2133,43285,44697
2134,43131,44569
2135,43083,44520
2136,42906,44078
2137,42446,43593
2138,42010,43154
2139,41768,42878
2140,41767,42849
2141,41327,42364
2142,41093,41921
2143,41322,42150
2144,41759,42573
2145,43198,43890
2146,45968,46581
2147,48096,48707
2148,48246,49005
2149,47299,48107
2150,46540,47346
2151,45510,46441
2152,43835,44779
2153,42138,43162
2154,40896,42262
2155,39502,40862
2156,38124,39428
2157,37144,38349
2158,35675,37296
2159,34975,37324
2160,35668,37718
2161,35424,37634
2162,34907,37015
2163,34012,36292
2164,33512,35816
2165,33563,35744
2166,32909,35343
2167,31959,34435
2168,31159,33600
2169,30693,33068
2170,30390,32750
2171,30225,32545
2172,30575,32944
2173,30814,33200
2174,30890,32770
2175,30623,32294
2176,32009,33871
2177,33822,35273
2178,35951,36955
2179,37331,38342
2180,38868,39922
2181,39699,40783
2182,40395,41507
2183,40930,42116
2184,41427,42722
2185,41181,42512
2186,40927,41950
2187,40473,41467
2188,40606,41490
2189,40228,41078
2190,40107,40834
2191,40377,41091
2192,40810,41569
2193,42039,42729
2194,43870,44500
2195,45994,46622
2196,46095,46863
2197,45587,46496
2198,44710,45884
2199,43479,44668
2200,42759,43746
2201,41663,42549
2202,40536,41718
2203,39165,40386
2204,37644,38803
2205,36132,37167
2206,34179,36129
2207,33271,35891
2208,34000,36485
2209,33989,36367
2210,33877,36189
2211,33289,35774
2212,32996,35453
2213,33166,35672
2214,32704,35412
2215,31834,34496
2216,31183,33801
2217,30936,33588
2218,31211,34783
2219,32325,35681
2220,35051,37539
2221,37641,39149
2222,40128,42083
2223,41335,43642
2224,43268,45697
2225,45005,47480
2226,46441,48882
2227,46972,49449
2228,46999,49479
2229,47064,49540
2230,47049,49520
2231,47091,49569
2232,46958,49435
2233,46406,48884
2234,45937,48385
2235,45581,47922
2236,45565,47831
2237,45333,47572
2238,45157,46781
2239,45185,46860
2240,45524,47103
2241,46693,48109
2242,48809,49463
2243,50986,51619
2244,51319,51956
2245,50556,51260
2246,49443,50849
2247,48266,49799
2248,46726,48076
2249,44956,46324
2250,43451,45399
2251,41138,43096
2252,39220,40841
2253,37325,39273
2254,35379,38370
2255,34173,37155
2256,34671,37637
2257,34709,37672
2258,34486,37647
2259,33821,37083
2260,33528,36790
2261,33522,36737
2262,32765,36407
2263,31822,35492
2264,31072,34762
2265,31023,34641
2266,31319,34814
2267,32372,35435
2268,35040,37223
2269,37659,39841
2270,40048,42197
2271,41474,43777
2272,43423,45870
2273,44887,47400
2274,46182,48622
2275,46478,48872
2276,46688,48931
2277,46723,48975
2278,46712,48970
2279,46860,49111
2280,46962,49215
2281,46655,48890
2282,46541,48968
2283,46230,48567
2284,46393,48704
2285,46134,48485
2286,46009,47738
2287,46129,47883
2288,46423,47921
2289,47889,49214
2290,49626,50278
2291,51056,51687
2292,51332,52004
2293,50681,51491
2294,49420,51295
2295,47858,49763
2296,46855,48612
2297,45255,46925
2298,43622,45783
2299,41409,43600
2300,39666,41798
2301,37890,40290
2302,35652,39018
2303,34349,37747
2304,34862,38208
2305,34722,38125
2306,34548,37869
2307,33845,37183
2308,33428,36731
2309,33306,36492
2310,32558,36136
2311,31769,35338
2312,31233,34781
2313,31156,34678
2314,31551,35065
2315,32383,35862
2316,35085,37878
2317,37777,40073
2318,40333,42544
2319,41521,43886
2320,43351,45856
2321,44807,47333
2322,45920,48467
2323,46121,48666
2324,46327,48868
2325,46483,49027
2326,46604,49147
2327,46867,49410
2328,46941,49485
2329,46728,49270
2330,46766,49309
2331,46445,48985
2332,46350,48890
2333,46106,48642
2334,46105,47976
2335,46366,48210
2336,46807,48355
2337,48080,49462
2338,49730,50562
2339,51200,51812
2340,51362,52072
2341,50663,51456
2342,49395,51206
2343,48184,50435
2344,46846,49261
2345,45187,47604
2346,43487,45975
2347,41551,44045
2348,39941,42440
2349,38046,40601
2350,35819,38698
2351,34595,37894
2352,34987,38002
2353,34920,38045
2354,34777,37832
2355,33861,36973
2356,33438,36648
2357,33359,36491
2358,32604,35848
2359,31733,35137
2360,31099,34557
2361,31023,34360
2362,31275,34486
2363,32324,35257
2364,34999,37733
2365,37862,39991
2366,40044,42190
2367,41358,43666
2368,43318,45828
2369,44543,47003
2370,45564,48063
2371,45896,48419
2372,45997,48526
2373,46045,48570
2374,46037,48453
2375,46030,48442
2376,46087,48096
2377,45731,47738
2378,45610,47617
2379,45354,47339
2380,45356,47358
2381,45101,47105
2382,45070,46298
2383,45318,46459
2384,45783,47060
2385,46843,47929
2386,48512,49124
2387,50221,50913
2388,50875,51533
2389,50245,51017
2390,48997,50654
2391,47631,49763
2392,46758,48636
2393,44962,46839
2394,43477,45766
2395,41467,43728
2396,39570,41826
2397,37933,40120
2398,35985,38067
2399,34720,37280
2400,35103,37560
2401,35059,37573
2402,34812,37682
2403,34036,37032
2404,33483,36466
2405,33558,36480
2406,32817,35875
2407,31983,35063
2408,31445,34517
2409,31240,34305
2410,31432,35278
2411,32456,36086
2412,35066,37829
2413,37555,39522
2414,39498,41046
2415,40892,42837
2416,42819,44850
2417,44321,46418
2418,45206,47190
2419,45554,47544
2420,45743,47733
2421,45782,47773
2422,45690,47461
2423,45555,47327
2424,45514,47141
2425,45017,46644
2426,44787,46426
2427,44447,46003
2428,44240,45652
2429,43750,45172
2430,43473,44401
2431,43373,44289
2432,43631,44493
2433,44749,45521
2434,46733,47341
2435,48746,49356
2436,49449,50164
2437,48791,49628
2438,47461,48377
2439,45949,46930
2440,44566,45546
2441,42863,43845
2442,41414,42898
2443,39634,41145
2444,38087,39616
2445,36729,38330
2446,35023,36794
2447,34046,36535
2448,34201,36437
2449,33918,36178
2450,33653,36068
2451,32720,35341
2452,32248,34760
2453,32145,34700
2454,31109,33760
2455,30130,32778
2456,29368,32048
2457,29003,31496
2458,28815,31169
2459,28936,31287
2460,30073,32324
2461,30990,32369
2462,31975,32584
2463,32598,33205
2464,34391,34997
2465,36214,36819
2466,37884,38534
2467,38654,39302
2468,39106,39788
2469,39062,39797
2470,39095,39862
2471,38894,39681
2472,38787,39595
2473,38306,39140
2474,37868,38673
2475,37211,37952
2476,36819,37510
2477,36325,36959
2478,36058,36677
2479,36053,36672
2480,36476,37102
2481,37768,38378
2482,39707,40316
2483,42769,43374
2484,44380,45049
2485,44162,44972
2486,42906,43766
2487,41569,42411
2488,40377,41242
2489,38900,39669
2490,37845,38677
2491,36467,37248
2492,35062,35786
2493,34148,34885
2494,32862,34153
2495,32080,33780
2496,32576,34034
2497,32477,34047
2498,32003,33893
2499,30996,32991
2500,30338,32334
2501,30122,32119
2502,29289,31528
2503,28305,30545
2504,27605,30081
2505,27323,29671
2506,27120,29338
2507,27155,29300
2508,27814,29816
2509,28134,30078
2510,27854,28681
2511,28067,28686
2512,29771,30391
2513,31642,32261
2514,33507,34126
2515,35018,35636
2516,36229,36869
2517,37167,37902
2518,37904,38610
2519,38387,39096
2520,38974,39699
2521,39016,39728
2522,38720,39423
2523,38290,38982
2524,38073,38703
2525,37661,38280
2526,37617,38235
2527,37942,38561
2528,38472,39097
2529,39642,40269
2530,41295,41923
2531,43672,44253
2532,44882,45506
2533,44460,45205
2534,43290,44150
2535,42187,42979
2536,41701,42552
2537,40275,41140
2538,39167,40050
2539,37296,38147
2540,35825,36614
2541,34188,34961
2542,32124,33652
2543,31064,33058
2544,31360,33356
2545,31521,33424
2546,31627,33444
2547,30723,32535
2548,30346,32158
2549,30315,32216
2550,29570,31704
2551,28804,30930
2552,28188,30321
2553,28183,30291
2554,28761,30783
2555,30191,32215
2556,33484,35431
2557,36866,38270
2558,40489,41867
2559,41984,43375
2560,43308,44649
2561,43825,45179
2562,44854,45906
2563,45290,46425
2564,45482,46626
2565,45638,46783
2566,45766,46812
2567,45852,46901
2568,45941,47012
2569,45622,46689
2570,45636,46646
2571,45337,46369
2572,45268,46227
2573,44947,45909
2574,44752,45713
2575,45227,46176
2576,45984,46824
2577,47362,48062
2578,48560,49182
2579,49822,50395
2580,50817,51457
2581,50225,50993
2582,49094,50009
2583,47736,48681
2584,46229,47173
2585,44750,45687
2586,43270,44209
2587,40830,41771
2588,38753,39693
2589,36486,37636
2590,34378,36750
2591,33121,35754
2592,33588,36270
2593,33524,36167
2594,33373,35937
2595,32670,35166
2596,32049,34434
2597,32020,34395
2598,31334,33747
2599,30432,32829
2600,29808,32199
2601,29783,32157
2602,30345,32923
2603,31606,34091
2604,34657,37094
2605,38099,39765
2606,41457,43097
2607,43122,44966
2608,44070,46034
2609,44289,46150
2610,45001,46689
2611,44979,46667
2612,45114,46803
2613,45332,47021
2614,45608,46892
2615,45715,47022
2616,45712,46951
2617,45409,46668
2618,45662,46961
2619,45451,46751
2620,45289,46462
2621,44967,46145
2622,44635,45616
2623,45243,46206
2624,46116,47072
2625,47303,48080
2626,48547,49167
2627,50028,50639
2628,50758,51456
2629,50235,51076
2630,49322,50260
2631,47772,48745
2632,46323,47267
2633,45072,46050
2634,43190,44324
2635,41109,42170
2636,38867,39821
2637,36799,37759
2638,34346,36083
2639,32988,35550
2640,33291,35902
2641,33141,35674
2642,33050,35586
2643,32343,34857
2644,31802,34270
2645,31643,34184
2646,30946,33560
2647,30256,32913
2648,29627,32269
2649,29565,32191
2650,30109,33482
2651,31231,34481
2652,34348,37210
2653,37732,40032
2654,40983,42255
2655,42587,43998
2656,43622,45115
2657,43800,45302
2658,44531,46077
2659,44874,46421
2660,44844,46388
2661,44889,46447
2662,45022,46227
2663,45260,46466
2664,45514,46740
2665,45232,46459
2666,45295,46519
2667,45099,46290
2668,45069,46287
2669,44656,45955
2670,44565,45523
2671,45076,46037
2672,45859,46722
2673,46874,47582
2674,48016,48628
2675,49247,49859
2676,50431,51035
2677,50112,50718
2678,48979,49752
2679,47531,48469
2680,46265,47202
2681,44517,45442
2682,43097,44067
2683,40977,41954
2684,38783,39758
2685,36884,37867
2686,34505,36173
2687,33193,35192
2688,33553,35676
2689,33422,35576
2690,33160,35611
2691,32363,34672
2692,31800,34163
2693,31721,34102
2694,31112,33690
2695,30360,32934
2696,29740,32305
2697,29708,32162
2698,30031,32942
2699,31282,34076
2700,34272,37124
2701,37713,39484
2702,40987,41803
2703,42522,43500
2704,43532,44595
2705,43832,44959
2706,44676,45674
2707,44935,45970
2708,44994,46018
2709,44963,45989
2710,45009,45985
2711,45172,46155
2712,45341,46361
2713,44985,45997
2714,44901,45965
2715,44720,45723
2716,44747,45786
2717,44301,45383
2718,43955,44913
2719,44479,45439
2720,45012,45977
2721,46026,46887
2722,47295,47938
2723,48712,49346
2724,50175,50766
2725,49851,50586
2726,48919,49802
2727,47437,48378
2728,46254,47193
2729,44653,45594
2730,43198,44136
2731,41016,41956
2732,38839,39781
2733,36771,37724
2734,34586,36305
2735,33342,35744
2736,33525,35790
2737,33349,35734
2738,32922,35542
2739,32157,34693
2740,31716,34308
2741,31604,34168
2742,31073,33667
2743,30142,32812
2744,29474,32180
2745,29268,31804
2746,29736,32751
2747,30831,33907
2748,33773,36288
2749,36866,38698
2750,39809,41077
2751,41473,42821
2752,42331,43802
2753,42579,44142
2754,43271,44433
2755,43334,44425
2756,43385,44436
2757,43302,44381
2758,43232,44218
2759,43312,44341
2760,43338,44381
2761,42878,43912
2762,42751,43728
2763,42504,43484
2764,42345,43277
2765,41864,42768
2766,41283,42163
2767,41585,42308
2768,42209,42994
2769,43276,44019
2770,44472,45088
2771,45720,46330
2772,47809,48427
2773,47464,48236
2774,46137,47017
2775,44831,45772
2776,43421,44364
2777,41812,42699
2778,40558,41497
2779,38671,39644
2780,37004,37946
2781,35730,36677
2782,34059,35587
2783,33177,35505
2784,33581,35876
2785,33272,35559
2786,32619,34914
2787,31431,33929
2788,30813,33289
2789,30648,33177
2790,30033,32752
2791,29076,31803
2792,28418,31098
2793,28178,30787
2794,28058,30413
2795,28304,30644
2796,29457,31773
2797,30207,31606
2798,30962,31571
2799,32051,32658
2800,34117,34723
2801,36179,36815
2802,37796,38401
2803,38640,39315
2804,39062,39950
2805,39217,40185
2806,39242,40175
2807,39217,40136
2808,39198,40068
2809,38778,39655
2810,38203,39061
2811,38013,38809
2812,37826,38623
2813,37332,38079
2814,37121,37778
2815,37219,37841
2816,37634,38240
2817,38821,39427
2818,40558,41163
2819,42479,43085
2820,44260,44887
2821,44236,45066
2822,43243,44096
2823,41998,42911
2824,40975,41774
2825,39312,39985
2826,38006,38718
2827,36591,37411
2828,35361,36170
2829,34519,35213
2830,33169,34281
2831,32349,34266
2832,32814,34365
2833,32596,34232
2834,31959,33949
2835,30921,33180
2836,30240,32741
2837,30122,32611
2838,29348,31720
2839,28442,30993
2840,27681,30286
2841,27363,29950
2842,27163,29735
2843,27172,29682
2844,27953,30325
2845,28055,30384
2846,28133,29877
2847,28681,30063
2848,30393,31034
2849,32287,32906
2850,34278,34930
2851,35748,36367
2852,37069,37704
2853,37752,38464
2854,38343,39107
2855,38692,39376
2856,39059,39679
2857,38959,39668
2858,38378,39094
2859,37909,38529
2860,37519,38138
2861,37067,37686
2862,36986,37743
2863,37030,37785
2864,37477,38101
2865,38345,38969
2866,39455,40078
2867,41064,41693
2868,44222,44847
2869,44597,45360
2870,43637,44543
2871,42297,43213
2872,41839,42756
2873,40460,41376
2874,39419,40330
2875,37481,38354
2876,35954,36851
2877,34273,35288
2878,32212,34302
2879,31105,33494
2880,31584,34144
2881,31730,34278
2882,31478,33997
2883,31006,33581
2884,30663,33239
2885,30758,33321
2886,30245,32785
2887,29476,32017
2888,29033,31622
2889,28948,31458
2890,29546,32056
2891,30762,32686
2892,34314,35762
2893,37210,38444
2894,40568,41466
2895,42280,43302
2896,43419,44427
2897,43922,44967
2898,44622,45635
2899,44780,45908
2900,44685,45868
2901,44632,45797
2902,44688,45755
2903,44683,45755
2904,44741,45822
2905,44446,45536
2906,44208,45251
2907,44014,44922
2908,43997,44856
2909,43629,44601
2910,43404,44415
2911,43951,44975
2912,44758,45784
2913,46044,46988
2914,47330,48137
2915,48343,49158
2916,50306,51213
2917,50178,51131
2918,48891,49796
2919,47558,48471
2920,46066,46983
2921,44404,45303
2922,42934,43849
2923,40386,41299
2924,38243,39156
2925,36079,36993
2926,33886,35893
2927,32707,35121
2928,32963,35321
2929,33120,35581
2930,32784,35244
2931,32218,34675
2932,31671,34121
2933,31708,34169
2934,31058,33827
2935,30482,33251
2936,29885,32625
2937,29792,32444
2938,30194,33387
2939,31393,34600
2940,34619,37459
2941,37703,39761
2942,40813,42332
2943,42477,44225
2944,43431,45171
2945,43570,45293
2946,44544,45730
2947,44837,45979
2948,44924,46063
2949,45091,46218
2950,45194,46288
2951,45365,46231
2952,45785,46671
2953,45541,46433
2954,45597,46519
2955,45551,46471
2956,45673,46578
2957,45463,46370
2958,45428,46406
2959,46112,47102
2960,47072,48051
2961,48251,49230
2962,49452,50403
2963,50332,51241
2964,51030,51820
2965,50673,51556
2966,49704,50607
2967,48061,48988
2968,47036,47960
2969,45106,45967
2970,43607,44520
2971,41270,42344
2972,39151,40234
2973,36981,38595
2974,34723,37210
2975,33374,36088
2976,33851,36367
2977,33878,36302
2978,33710,36179
2979,33134,35858
2980,32797,35496
2981,32874,35577
2982,32246,34951
2983,31507,34152
2984,31124,33775
2985,31052,33620
2986,31547,34950
2987,32743,36148
2988,35842,39151
2989,38898,41143
2990,42260,43802
2991,43992,45733
2992,44856,46552
2993,45275,46941
2994,45915,47276
2995,45945,47285
2996,45904,47244
2997,46019,47356
2998,46060,47257
2999,46138,47331
3000,46128,47325
3001,46007,47204
3002,45889,46922
3003,45747,46735
3004,45743,46714
3005,45394,46368
3006,45099,46126
3007,45620,46647
3008,46170,47197
3009,46941,47961
3010,47684,48578
3011,48648,49534
3012,51112,52043
3013,51510,52413
3014,50759,51615
3015,49451,50376
3016,48093,49019
3017,46038,46957
3018,44939,45798
3019,42738,43677
3020,40626,41584
3021,38574,40000
3022,36298,38689
3023,35092,37769
3024,35512,38191
3025,35473,38000
3026,35269,37815
3027,34491,37174
3028,34153,36747
3029,34290,36892
3030,33456,36264
3031,32804,35622
3032,32319,35185
3033,32176,35022
3034,32675,36411
3035,33718,37487
3036,36585,40138
3037,39463,42200
3038,42653,44647
3039,44350,46448
3040,45381,47506
3041,45732,47854
3042,46520,48263
3043,46772,48487
3044,46652,48372
3045,46605,48323
3046,46534,48277
3047,46461,48207
3048,46494,48205
3049,46000,47694
3050,45830,47154
3051,45797,47057
3052,45636,46873
3053,45168,46419
3054,44831,45847
3055,45274,46301
3056,45831,46788
3057,46877,47798
3058,47625,48469
3059,48302,49157
3060,50993,51862
3061,51801,52731
3062,51007,51910
3063,49345,50268
3064,48246,49163
3065,46554,47477
3066,44979,46070
3067,42533,43647
3068,40382,41490
3069,38367,39823
3070,36257,38051
3071,34911,37312
3072,35288,37436
3073,35220,37232
3074,35100,37207
3075,34432,36858
3076,34077,36717
3077,34170,36646
3078,33564,36175
3079,32691,35309
3080,32148,34752
3081,32047,34628
3082,32470,35360
3083,33664,36477
3084,36463,38698
3085,39242,40908
3086,42252,44144
3087,43863,45908
3088,44913,46949
3089,45218,47123
3090,45890,47577
3091,45968,47719
3092,45881,47660
3093,45612,47355
3094,45521,47241
3095,45413,47103
3096,45274,46962
3097,44769,46535
3098,44509,46340
3099,44115,45942
3100,43857,45680
3101,43314,45180
3102,42703,43757
3103,42976,43945
3104,43478,44249
3105,44398,45231
3106,45293,46090
3107,46168,46860
3108,48732,49461
3109,49170,49977
3110,48128,48993
3111,46610,47531
3112,45115,46039
3113,43475,44347
3114,42035,42876
3115,39848,40686
3116,37907,38764
3117,36366,37405
3118,34726,36376
3119,33846,35858
3120,34292,36307
3121,34074,36229
3122,33452,35725
3123,32404,34685
3124,31752,34278
3125,31623,34139
3126,30936,33567
3127,30073,32700
3128,29278,31893
3129,28869,31399
3130,28674,31044
3131,28847,31179
3132,29967,32047
3133,30397,31728
3134,31587,32356
3135,32837,33600
3136,34885,35638
3137,36552,37263
3138,37901,38509
3139,38444,39153
3140,38719,39492
3141,38845,39702
3142,38576,39449
3143,38463,39360
3144,38237,39147
3145,37926,38835
3146,37688,38598
3147,37348,38187
3148,37071,37811
3149,36763,37451
3150,36598,37396
3151,36881,37712
3152,37255,38009
3153,38618,39230
3154,40177,40789
3155,41553,42164
3156,43700,44386
3157,43535,44168
3158,42641,43402
3159,40857,41655
3160,39555,40238
3161,38133,38765
3162,36936,37695
3163,35498,36345
3164,34086,34917
3165,33460,34391
3166,31852,33557
3167,31103,33304
3168,31717,34018
3169,31623,33914
3170,31071,33311
3171,30048,32599
3172,29490,32036
3173,29354,31833
3174,28790,31367
3175,27980,30528
3176,27419,29911
3177,27090,29617
3178,26956,29401
3179,27100,29518
3180,27579,29928
3181,27379,29624
3182,27852,29083
3183,28463,29086
3184,30144,30763
3185,31792,32410
3186,33340,33959
3187,34570,35190
3188,35798,36416
3189,36683,37331
3190,37406,38139
3191,38019,38719
3192,38631,39367
3193,38658,39471
3194,38390,39239
3195,38146,38922
3196,38210,38915
3197,38016,38759
3198,38015,38811
3199,38095,38791
3200,38302,38925
3201,38884,39511
3202,39608,40235
3203,40856,41484
3204,43263,43869
3205,44105,44746
3206,43633,44436
3207,42454,43376
3208,41528,42354
3209,40339,41165
3210,39272,40172
3211,37334,38252
3212,35663,36579
3213,33834,34867
3214,31770,33255
